
Rk 	Pos 	Name 		Age 	G 	PA 	AB 	R 	H 	2B 	3B 	HR 	RBI 	SB 	CS 	BB 	SO 	BA 	OBP 	SLG 	OPS 	OPS+ 	TB 	GDP 	HBP 	SH 	SF 	IBB

1	SS	Derek Jeter	35	153	716	634	107	212	27	1	18	66	30	5	72	90	.334	.406	.465	.871	125	295	18	5	4	1	4
2	1B	Mark Teixeira#	29	156	707	609	103	178	43	3	39	122	2	0	81	114	.292	.383	.565	.948	141	344	13	12	0	5	9
3	2B	Robinson Cano*	26	161	674	637	103	204	48	2	25	85	5	7	30	63	.320	.352	.520	.871	121	331	22	3	0	4	2
4	LF	Johnny Damon*	35	143	626	550	107	155	36	3	24	82	12	0	71	98	.282	.365	.489	.854	118	269	9	2	2	1	1
5	RF	Nick Swisher#	28	150	607	498	84	124	35	1	29	82	0	0	97	126	.249	.371	.498	.869	122	248	13	3	3	6	2
6	CF	Melky Cabrera#	24	154	540	485	66	133	28	1	13	68	10	2	43	59	.274	.336	.416	.752	93	202	15	4	4	4	4
7	3B	Alex Rodriguez	33	124	535	444	78	127	17	1	30	100	14	2	80	97	.286	.402	.532	.933	138	236	13	8	0	3	7
8	DH	Hideki Matsui*	35	142	528	456	62	125	21	1	28	90	0	1	64	75	.274	.367	.509	.876	123	232	4	4	0	2	1
9	C	Jorge Posada#	37	111	438	383	55	109	25	0	22	81	1	0	48	101	.285	.363	.522	.885	125	200	13	2	0	5	4
10	CF	Brett Gardner*	25	108	284	248	48	67	6	6	3	23	26	5	26	40	.270	.345	.379	.724	87	94	3	3	6	1	0
11	C	Jose Molina	34	52	155	138	15	30	4	0	1	11	0	0	14	28	.217	.292	.268	.560	46	37	6	1	1	1	0
12	IF	Ramiro Pena#	23	69	121	115	17	33	6	1	1	10	4	1	5	20	.287	.317	.383	.699	80	44	2	0	1	0	0
13	C	F. Cervelli	23	42	101	94	13	28	4	0	1	11	0	3	2	11	.298	.309	.372	.682	75	35	1	0	4	1	0
14	RF	Eric Hinske*	31	39	98	84	13	19	3	0	7	14	1	0	10	25	.226	.316	.512	.828	109	43	2	2	0	2	1
15	UT	Jerry Hairston	33	45	93	76	15	18	5	0	2	12	0	1	11	8	.237	.352	.382	.733	90	29	1	3	2	1	0

Rk 	Pos 	Name 		Age 	G 	PA 	AB 	R 	H 	2B 	3B 	HR 	RBI 	SB 	CS 	BB 	SO 	BA 	OBP 	SLG 	OPS 	OPS+ 	TB 	GDP 	HBP 	SH 	SF 	IBB

1	SP	CC Sabathia*	28	19	8	.704	3.37	34	34	0	2	1	0	230.0	197	96	86	18	67	7	197	9	0	5	938	137	3.39	1.148	7.7	0.7	2.6	7.7	2.94
2	SP	A.J. Burnett	32	13	9	.591	4.04	33	33	0	1	0	0	207.0	193	99	93	25	97	0	195	10	1	17	896	114	4.33	1.401	8.4	1.1	4.2	8.5	2.01
3	SP	Andy Pettitte*	37	14	8	.636	4.16	32	32	0	0	0	0	194.2	193	101	90	20	76	1	148	4	0	3	834	111	4.14	1.382	8.9	0.9	3.5	6.8	1.95
4	SP	J. Chamberlain	23	9	6	.600	4.75	32	31	0	0	0	0	157.1	167	94	83	21	76	2	133	12	2	5	709	97	4.82	1.544	9.6	1.2	4.3	7.6	1.75
5	RP	Phil Hughes	23	8	3	.727	3.03	51	7	6	0	0	3	86.0	68	31	29	8	28	1	96	5	2	4	351	152	3.22	1.116	7.1	0.8	2.9	10.0	3.43
6	RP	Alfredo Aceves	26	10	1	.909	3.54	43	1	10	0	0	1	84.0	69	36	33	10	16	2	69	5	0	0	337	131	3.75	1.012	7.4	1.1	1.7	7.4	4.31
7	CL	Mariano Rivera	39	3	3	.500	1.76	66	0	55	0	0	44	66.1	48	14	13	7	12	1	72	1	0	1	257	262	2.89	0.905	6.5	0.9	1.6	9.8	6.00
8	RP	Phil Coke*	26	4	3	.571	4.50	72	0	13	0	0	2	60.0	44	34	30	10	20	4	49	1	0	7	238	103	4.68	1.067	6.6	1.5	3.0	7.4	2.45
9	RP	Sergio Mitre	28	3	3	.500	6.79	12	9	2	0	0	0	51.2	71	45	39	10	13	0	32	3	0	3	241	68	5.30	1.626	12.4	1.7	2.3	5.6	2.46
10	RP	David Robertson	24	2	1	.667	3.30	45	0	20	0	0	1	43.2	36	19	16	4	23	1	63	1	0	6	191	140	3.05	1.351	7.4	0.8	4.7	13.0	2.74
11	RP	Chien-Ming Wang	29	1	6	.143	9.64	12	9	2	0	0	0	42.0	66	46	45	7	19	1	29	2	0	3	206	48	5.38	2.024	14.1	1.5	4.1	6.2	1.53
12	RP	Chad Gaudin	26	2	0	1.000	3.43	11	6	4	0	0	0	42.0	41	16	16	7	20	1	34	3	0	3	188	135	5.29	1.452	8.8	1.5	4.3	7.3	1.70
13	RP	Brian Bruney	27	5	0	1.000	3.92	44	0	6	0	0	0	39.0	36	17	17	6	23	3	36	1	0	2	175	118	5.10	1.513	8.3	1.4	5.3	8.3	1.57
14	RP	J. Albaladejo	26	5	1	.833	5.24	32	0	5	0	0	0	34.1	41	23	20	6	16	2	21	3	0	0	158	89	5.81	1.660	10.7	1.6	4.2	5.5	1.31
15	RP	Jose Veras	28	3	1	.750	5.96	25	0	10	0	0	0	25.2	23	17	17	5	14	0	18	4	0	0	118	78	6.33	1.442	8.1	1.8	4.9	6.3	1.29
